name,gender,attendance_rate,avg_grade,absences_last_month,distance_km,num_siblings,fee_arrears,dropped_out
Purity Njoroge,M,82.5,83.2,13,3.2,6,1835,0
Dennis Rotich,F,72.9,74.6,14,5.3,7,1935,0
Cynthia Owino,M,84.7,59.1,5,4.1,7,4584,0
Usha Auma,M,97.8,46.4,10,5.8,6,4161,0
Kezia Waweru,M,71.5,70.6,2,5.4,4,1831,0
Purity Owino,F,71.5,65.1,7,0.6,6,5606,0
Irene Kariuki,M,98.7,74.1,2,8.0,4,364,0
Xavier Nyambura,F,86.5,69.4,13,0.7,5,885,0
Yvonne Kamau,M,68.0,76.9,11,6.0,1,5280,0
Irene Juma,M,83.1,48.4,12,2.7,2,1424,0
Caroline Kariuki,F,68.0,81.7,12,3.6,4,11919,0
Cynthia Nyambura,F,68.0,61.6,1,11.7,6,1884,0
Francis Odhiambo,F,78.6,95.4,12,11.0,6,4710,0
Amina Kibet,F,46.3,45.6,12,8.5,0,1544,1
Amina Muthoni,F,49.1,89.2,2,3.6,6,1660,1
Francis Simiyu,M,66.6,61.6,10,6.7,1,1448,0
Brian Mutua,M,59.8,46.3,5,3.6,3,3809,0
Oliver Simiyu,F,79.7,49.3,1,10.2,3,2379,0
Zainab Chebet,M,61.4,52.2,7,2.6,6,8635,0
Zainab Moraa,M,53.8,65.6,0,17.6,0,867,1
Grace Chebet,M,97.0,67.4,6,13.5,4,318,0
Zainab Adhiambo,F,71.6,47.7,1,6.8,1,1499,0
Aisha Mwangi,M,76.0,57.6,9,1.6,0,2877,0
Quinter Chebet,M,53.6,96.6,11,0.7,4,5916,1
Hassan Waweru,M,66.8,89.1,5,9.6,1,1275,0
Zainab Njenga,F,76.7,65.9,11,0.9,6,3182,0
Xavier Simiyu,M,57.7,58.7,1,9.6,3,1293,0
Vincent Nyambura,M,80.6,60.2,1,3.4,1,2881,0
Robert Chebet,F,66.0,69.0,9,2.6,6,6483,0
Robert Muthoni,F,70.6,39.6,12,11.7,5,789,0
Zainab Achieng,M,66.0,53.4,7,4.6,2,1554,0
Boniface Otieno,M,100.0,28.0,14,4.3,1,15001,1
Hassan Nyambura,F,74.8,65.2,14,4.1,2,6088,0
Vincent Mwangi,F,59.1,69.6,11,2.3,1,2495,0
Vincent Wekesa,F,87.3,49.3,1,7.7,2,2181,0
Dennis Juma,F,56.7,86.3,6,1.5,5,1005,0
Boniface Otieno,F,78.1,35.9,2,14.0,3,2185,0
Kezia Koech,F,45.6,31.6,7,11.2,7,5655,1
Quinter Njenga,F,55.1,62.0,6,2.1,4,3467,0
Grace Waweru,M,78.0,76.8,13,6.5,2,1028,0
Dennis Kibet,F,86.1,88.3,7,4.3,5,675,0
Sharon Rotich,F,77.6,49.7,13,2.1,2,925,0
Oliver Koech,M,73.3,77.4,6,22.3,3,558,0
Esther Muthoni,F,70.5,57.3,10,0.1,2,302,0
Oliver Auma,F,52.8,54.9,5,1.5,5,1630,1
Kezia Rotich,M,64.2,73.9,12,3.7,6,361,0
Brian Nyambura,F,68.1,69.7,6,3.7,5,566,0
Oliver Nyambura,M,90.9,29.6,4,4.4,7,2378,1
David Moraa,M,80.2,84.6,6,7.0,7,540,0
Robert Kariuki,M,48.6,82.8,0,4.9,7,198,1
Wanjiku Wekesa,M,79.9,46.7,0,4.6,0,1145,0
Kezia Adhiambo,F,69.2,65.1,8,0.3,3,747,0
Brian Njoroge,M,64.8,66.9,13,2.4,6,2173,0
Caroline Koech,M,84.2,62.7,4,1.3,0,324,0
Esther Auma,F,90.5,48.1,12,1.5,3,4180,0
Wanjiku Auma,M,89.0,45.9,4,4.0,6,7101,0
Naomi Moraa,M,62.4,57.5,2,1.1,2,4081,0
James Otieno,M,70.4,79.1,4,1.7,6,2283,0
Irene Otieno,M,80.0,67.8,2,1.4,5,5913,0
Kezia Rotich,F,89.6,51.3,8,14.8,0,3562,0
Linet Otieno,M,67.8,71.9,8,14.5,2,32,0
Usha Odhiambo,F,72.2,6.7,5,4.7,5,1503,1
Naomi Adhiambo,F,58.4,78.7,14,12.9,3,5710,0
Boniface Koech,M,57.1,26.7,0,7.7,6,1273,1
Grace Juma,M,87.2,51.5,6,4.5,5,108,0
James Koech,M,95.3,37.8,6,0.0,2,4113,0
Oliver Wekesa,M,73.9,34.7,13,7.4,0,4859,1
Purity Moraa,F,90.1,78.9,9,6.1,0,525,0
Usha Nyambura,F,80.4,49.6,9,4.8,7,2312,0
Linet Auma,F,65.3,64.2,3,7.1,6,639,0
Wanjiku Simiyu,M,80.4,57.2,7,3.6,5,3811,0
Esther Waweru,F,98.1,66.6,5,6.1,7,951,0
Boniface Chebet,M,74.5,59.4,3,13.7,2,1140,0
Hassan Achieng,M,98.5,34.9,3,2.4,7,5592,1
Yvonne Wekesa,M,35.7,75.9,1,6.2,1,1941,1
Cynthia Muthoni,M,87.3,49.1,13,3.2,3,3324,0
Usha Auma,M,76.3,30.0,1,5.6,7,1544,1
Amina Njoroge,F,70.5,50.3,11,7.2,3,1061,0
Sharon Owino,F,76.4,85.0,13,0.2,2,2946,0
Quinter Koech,M,45.2,73.3,3,5.2,1,505,1
Brian Kariuki,F,71.7,51.7,4,1.3,0,1400,0
Vincent Chebet,M,80.4,51.7,7,5.5,6,704,0
Cynthia Rotich,M,97.2,52.2,14,3.2,4,3570,0
David Rotich,M,67.2,95.4,5,7.4,4,8658,0
Moses Kamau,F,62.9,64.9,13,0.7,6,16218,1
Brian Mutua,M,67.5,65.7,14,4.9,2,1795,0
Wanjiku Owino,M,88.7,76.5,3,1.6,1,873,0
Grace Chebet,F,79.9,62.3,12,9.6,1,1755,0
Linet Owino,F,67.1,53.3,10,13.2,3,5637,0
Naomi Kariuki,F,82.7,54.5,6,28.1,0,692,0
Sharon Adhiambo,M,76.5,56.7,7,7.9,5,9116,0
Francis Auma,M,89.5,57.3,1,7.0,7,1255,0
Xavier Muthoni,F,64.5,71.1,11,1.2,1,12764,1
Xavier Adhiambo,M,70.1,58.9,6,2.0,6,5472,0
Francis Kamau,F,69.1,71.2,14,3.1,5,4960,0
Hassan Mutua,F,53.0,56.5,13,7.4,4,1148,1
Oliver Koech,M,79.4,59.4,1,12.3,5,26,0
Vincent Moraa,M,78.9,22.0,1,1.0,0,1444,1
Xavier Osei,F,75.1,74.5,7,12.8,6,1078,0
Robert Rotich,F,71.5,64.2,1,5.9,0,114,0
Linet Koech,F,53.8,76.0,14,4.7,5,2112,1
Boniface Njoroge,F,68.7,5.9,10,1.1,7,1548,1
Boniface Odhiambo,M,69.9,95.6,8,0.3,2,3020,0
Wanjiku Juma,F,63.0,55.5,11,4.2,1,2912,0
Brian Koech,F,72.6,77.9,0,5.3,6,386,0
